#key,timestamp,value,count
739,1456164718,83,1
740,1456164724,83,1
741,1456164730,83,1
742,1456164736,83,1
743,1456164742,83,1
744,1456164748,66,1
745,1456164754,66,1
746,1456164760,66,1
747,1456164766,66,1
748,1456164772,66,1
749,1456164778,66,1
750,1456164784,66,1
751,1456164790,66,1
752,1456164796,66,1
753,1456164802,66,1
754,1456164808,55,1
755,1456164814,55,1
756,1456164820,55,1
757,1456164826,55,1
758,1456164832,55,1
759,1456164838,55,1
760,1456164844,55,1
761,1456164850,55,1
762,1456164856,55,1
763,1456164862,55,1
764,1456164868,40,1
765,1456164874,40,1
766,1456164880,40,1
767,1456164886,40,1
768,1456164892,40,1
769,1456164898,40,1
770,1456164904,40,1
771,1456164910,40,1
772,1456164916,40,1
773,1456164922,40,1
774,1456164928,23,1
775,1456164934,23,1
776,1456164940,23,1
777,1456164946,23,1
778,1456164952,23,1
779,1456164958,23,1
780,1456164964,23,1
781,1456164970,23,1
782,1456164976,23,1
783,1456164982,23,1
784,1456164988,10,1
785,1456164994,10,1
786,1456165000,10,1
787,1456165006,10,1
788,1456165012,10,1
789,1456165018,10,1
790,1456165024,10,1
791,1456165030,10,1
792,1456165036,10,1
793,1456165042,10,1
794,1456165048,5,1
795,1456165054,5,1
796,1456165060,5,1
797,1456165066,5,1
798,1456165072,5,1
799,1456165078,5,1
800,1456165084,5,1
801,1456165090,5,1
802,1456165096,5,1
803,1456165102,5,1
804,1456165108,48,1
805,1456165114,48,1
806,1456165120,48,1
807,1456165126,48,1
808,1456165132,48,1
809,1456165138,48,1
810,1456165144,48,1
811,1456165150,48,1
812,1456165156,48,1
813,1456165162,48,1
814,1456165168,39,1
815,1456165174,43,2
816,1456165180,43,2
817,1456165186,43,2
818,1456165192,43,2
819,1456165198,43,2
820,1456165204,43,2
821,1456165210,43,2
822,1456165216,43,2
823,1456165222,43,2
824,1456165228,35,2
825,1456165234,32,2
826,1456165240,32,2
827,1456165246,32,2
828,1456165252,32,2
829,1456165258,32,2
830,1456165264,32,2
831,1456165270,32,2
832,1456165276,32,2
833,1456165282,32,2
834,1456165288,42,2
835,1456165294,49,2
836,1456165300,49,2
837,1456165306,49,2
838,1456165312,49,2
839,1456165318,49,2
840,1456165324,49,2
841,1456165330,49,2
842,1456165336,49,2
843,1456165342,49,2
844,1456165348,45,2
845,1456165354,41,2
846,1456165360,42,3
847,1456165366,42,3
848,1456165372,42,3
849,1456165378,42,3
850,1456165384,42,3
851,1456165390,42,3
852,1456165396,42,3
853,1456165402,42,3
854,1456165408,40,3
855,1456165414,39,3
856,1456165420,37,3
857,1456165426,37,3
858,1456165432,37,3
859,1456165438,37,3
860,1456165444,37,3
861,1456165450,37,3
862,1456165456,37,3
863,1456165462,37,3
864,1456165468,36,3
865,1456165474,35,3
866,1456165480,33,3
867,1456165486,33,3
868,1456165492,33,3
869,1456165498,33,3
870,1456165504,33,3
871,1456165510,33,3
872,1456165516,33,3
873,1456165522,33,3
874,1456165528,29,3
875,1456165534,28,3
876,1456165540,28,3
877,1456165546,28,3
878,1456165552,28,3
879,1456165558,28,3
880,1456165564,28,3
881,1456165570,28,3
882,1456165576,28,3
883,1456165582,28,3
884,1456165588,37,3
885,1456165594,42,3
886,1456165600,46,3
887,1456165606,46,3
888,1456165612,46,3
889,1456165618,46,3
890,1456165624,46,3
891,1456165630,46,3
892,1456165636,46,3
893,1456165642,46,3
894,1456165648,43,3
895,1456165654,41,3
896,1456165660,38,3
897,1456165666,38,3
898,1456165672,38,4
899,1456165678,38,4
900,1456165684,38,4
901,1456165690,38,4
902,1456165696,38,4
903,1456165702,38,4
904,1456165708,34,4
905,1456165714,32,4
906,1456165720,29,4
907,1456165726,29,4
908,1456165732,26,4
909,1456165738,26,4
910,1456165744,26,4
911,1456165750,26,4
912,1456165756,26,4
913,1456165762,26,4
914,1456165768,23,4
915,1456165774,21,4
916,1456165780,17,4
917,1456165786,17,4
918,1456165792,15,4
919,1456165798,15,4
920,1456165804,15,4
921,1456165810,15,4
922,1456165816,15,4
923,1456165822,15,4
924,1456165828,13,4
925,1456165834,12,4
926,1456165840,11,4
927,1456165846,11,4
928,1456165852,11,4
929,1456165858,11,4
930,1456165864,11,4
931,1456165870,11,4
932,1456165876,11,4
933,1456165882,11,4
934,1456165888,12,4
935,1456165894,12,4
936,1456165900,16,4
937,1456165906,16,4
938,1456165912,19,4
939,1456165918,19,4
940,1456165924,19,4
941,1456165930,19,4
942,1456165936,19,4
943,1456165942,19,4
944,1456165948,19,4
945,1456165954,18,4
946,1456165960,16,4
947,1456165966,16,4
948,1456165972,13,4
949,1456165978,11,5
950,1456165984,11,5
951,1456165990,11,5
952,1456165996,11,5
953,1456166002,11,5
954,1456166008,10,5
955,1456166014,9,5
956,1456166020,7,5
957,1456166026,7,5
958,1456166032,6,5
959,1456166038,7,5
960,1456166044,7,5
961,1456166050,7,5
962,1456166056,7,5
963,1456166062,7,5
964,1456166068,7,5
965,1456166074,7,5
966,1456166080,5,5
967,1456166086,5,5
968,1456166092,4,5
969,1456166098,3,5
970,1456166104,3,5
971,1456166110,3,5
972,1456166116,3,5
973,1456166122,3,5
974,1456166128,2,5
975,1456166134,2,5
976,1456166140,2,5
977,1456166146,2,5
978,1456166152,2,5
979,1456166158,2,5
980,1456166164,2,5
981,1456166170,2,5
982,1456166176,2,5
983,1456166182,2,5
984,1456166188,2,5
985,1456166194,3,5
986,1456166200,4,5
987,1456166206,4,5
988,1456166212,5,5
989,1456166218,7,5
990,1456166224,7,5
991,1456166230,7,5
992,1456166236,7,5
993,1456166242,7,5
994,1456166248,7,6
995,1456166254,7,6
996,1456166260,6,6
997,1456166266,6,6
998,1456166272,6,6
999,1456166278,5,6
1000,1456166284,5,6
1001,1456166290,5,6
1002,1456166296,5,6
1003,1456166302,5,6
1004,1456166308,5,6
1005,1456166314,5,6
1006,1456166320,6,6
1007,1456166326,6,6
1008,1456166332,5,6
1009,1456166338,5,6
1010,1456166344,5,6
1011,1456166350,5,6
1012,1456166356,5,6
1013,1456166362,5,6
1014,1456166368,6,6
1015,1456166374,6,6
1016,1456166380,5,6
1017,1456166386,5,6
1018,1456166392,6,6
1019,1456166398,5,6
1020,1456166404,5,6
1021,1456166410,5,6
1022,1456166416,5,6
1023,1456166422,5,6
1024,1456166428,5,6
1025,1456166434,5,6
1026,1456166440,5,6
1027,1456166446,5,6
1028,1456166452,5,6
1029,1456166458,5,6
1030,1456166464,5,6
1031,1456166470,5,6
1032,1456166476,5,6
1033,1456166482,5,6
1034,1456166488,6,6
1035,1456166494,6,6
1036,1456166500,7,6
1037,1456166506,7,6
1038,1456166512,8,6
1039,1456166518,7,7
1040,1456166524,7,7
1041,1456166530,7,7
1042,1456166536,7,7
1043,1456166542,7,7
1044,1456166548,7,7
1045,1456166554,6,7
1046,1456166560,7,7
1047,1456166566,7,7
1048,1456166572,7,7
1049,1456166578,7,7
1050,1456166584,7,7
1051,1456166590,7,7
1052,1456166596,7,7
1053,1456166602,7,7
1054,1456166608,7,7
1055,1456166614,7,7
1056,1456166620,7,7
1057,1456166626,7,7
1058,1456166632,7,7
1059,1456166638,7,7
1060,1456166644,7,7
1061,1456166650,7,7
1062,1456166656,7,7
1063,1456166662,7,7
1064,1456166668,8,7
1065,1456166674,7,7
1066,1456166680,6,7
1067,1456166686,6,7
1068,1456166692,5,7
1069,1456166698,4,7
1070,1456166704,4,7
1071,1456166710,4,7
1072,1456166716,4,7
1073,1456166722,4,7
1074,1456166728,2,7
1075,1456166734,2,7
1076,1456166740,4,7
1077,1456166746,4,7
1078,1456166752,6,7
1079,1456166758,9,7
1080,1456166764,9,7
1081,1456166770,9,7
1082,1456166776,9,7
1083,1456166782,9,7
1084,1456166788,12,7
1085,1456166794,13,7
1086,1456166800,10,8
1087,1456166806,10,8
1088,1456166812,9,8
1089,1456166818,7,8
1090,1456166824,7,8
1091,1456166830,7,8
1092,1456166836,7,8
1093,1456166842,7,8
1094,1456166848,5,8
1095,1456166854,5,8
1096,1456166860,6,8
1097,1456166866,6,8
1098,1456166872,5,8
1099,1456166878,5,8
1100,1456166884,5,8
1101,1456166890,5,8
1102,1456166896,5,8
1103,1456166902,5,8
1104,1456166908,5,8
1105,1456166914,4,8
1106,1456166920,3,8
1107,1456166926,3,8
1108,1456166932,5,8
1109,1456166938,5,8
1110,1456166944,5,8
1111,1456166950,5,8
1112,1456166956,5,8
